elapsed_host_seconds,touch_state,serial_message
42.152,0,No touch detected...
42.152,0,No touch detected...
42.152,0,No touch detected...
42.353,0,No touch detected...
42.353,0,No touch detected...
42.353,0,No touch detected...
42.353,0,No touch detected...
42.553,0,No touch detected...
42.553,0,No touch detected...
42.553,0,No touch detected...
42.553,0,No touch detected...
42.754,0,No touch detected...
42.754,0,No touch detected...
42.754,0,No touch detected...
42.754,0,No touch detected...
42.955,0,No touch detected...
42.955,0,No touch detected...
42.955,0,No touch detected...
42.955,0,No touch detected...
43.156,0,No touch detected...
43.156,0,No touch detected...
43.156,0,No touch detected...
43.156,0,No touch detected...
43.357,0,No touch detected...
43.357,0,No touch detected...
43.357,0,No touch detected...
43.357,0,No touch detected...
43.558,0,No touch detected...
43.558,0,No touch detected...
43.558,0,No touch detected...
43.558,0,No touch detected...
43.760,0,No touch detected...
43.760,0,No touch detected...
43.760,0,No touch detected...
43.760,0,No touch detected...
43.962,0,No touch detected...
43.962,0,No touch detected...
43.962,0,No touch detected...
43.962,0,No touch detected...
44.165,0,No touch detected...
44.165,0,No touch detected...
44.165,0,No touch detected...
44.165,0,No touch detected...
44.366,0,No touch detected...
44.366,0,No touch detected...
44.366,0,No touch detected...
44.366,0,No touch detected...
44.568,0,No touch detected...
44.568,0,No touch detected...
44.568,0,No touch detected...
44.568,0,No touch detected...
44.769,0,No touch detected...
44.769,0,No touch detected...
44.769,0,No touch detected...
44.769,0,No touch detected...
44.973,0,No touch detected...
44.973,0,No touch detected...
44.973,0,No touch detected...
44.973,0,No touch detected...
45.177,0,No touch detected...
45.177,0,No touch detected...
45.177,0,No touch detected...
45.177,0,No touch detected...
45.382,0,No touch detected...
45.382,0,No touch detected...
45.382,0,No touch detected...
45.382,0,No touch detected...
45.588,0,No touch detected...
45.588,0,No touch detected...
45.588,0,No touch detected...
45.588,0,No touch detected...
45.793,0,No touch detected...
45.793,0,No touch detected...
45.793,0,No touch detected...
45.793,0,No touch detected...
45.999,0,No touch detected...
45.999,0,No touch detected...
45.999,0,No touch detected...
45.999,0,No touch detected...
46.202,0,No touch detected...
46.202,0,No touch detected...
46.202,0,No touch detected...
46.202,0,No touch detected...
46.202,0,No touch detected...
46.402,0,No touch detected...
46.402,0,No touch detected...
46.402,0,No touch detected...
46.402,0,No touch detected...
46.603,0,No touch detected...
46.603,0,No touch detected...
46.603,0,No touch detected...
46.603,0,No touch detected...
46.803,0,No touch detected...
46.803,0,No touch detected...
46.803,0,No touch detected...
46.803,0,No touch detected...
47.004,0,No touch detected...
47.004,0,No touch detected...
47.004,0,No touch detected...
47.004,0,No touch detected...
47.205,0,No touch detected...
47.205,0,No touch detected...
47.205,0,No touch detected...
47.205,0,No touch detected...
47.405,0,No touch detected...
47.405,0,No touch detected...
47.405,0,No touch detected...
47.405,0,No touch detected...
47.606,0,No touch detected...
47.606,0,No touch detected...
47.606,0,No touch detected...
47.606,0,No touch detected...
47.808,0,No touch detected...
47.808,0,No touch detected...
47.808,0,No touch detected...
47.808,0,No touch detected...
48.009,0,No touch detected...
48.009,0,No touch detected...
48.009,0,No touch detected...
48.009,0,No touch detected...
48.210,0,No touch detected...
48.211,0,No touch detected...
48.211,0,No touch detected...
48.211,0,No touch detected...
48.413,0,No touch detected...
48.413,0,No touch detected...
48.413,0,No touch detected...
48.413,0,No touch detected...
48.616,0,No touch detected...
48.616,0,No touch detected...
48.616,0,No touch detected...
48.616,0,No touch detected...
48.818,0,No touch detected...
48.818,0,No touch detected...
48.818,0,No touch detected...
48.818,0,No touch detected...
49.022,0,No touch detected...
49.022,0,No touch detected...
49.022,0,No touch detected...
49.022,0,No touch detected...
49.225,0,No touch detected...
49.225,0,No touch detected...
49.225,0,No touch detected...
49.225,0,No touch detected...
49.427,0,No touch detected...
49.427,0,No touch detected...
49.427,0,No touch detected...
49.427,0,No touch detected...
49.632,0,No touch detected...
49.632,0,No touch detected...
49.632,0,No touch detected...
49.632,0,No touch detected...
49.837,0,No touch detected...
49.837,0,No touch detected...
49.837,0,No touch detected...
49.837,0,No touch detected...
50.042,0,No touch detected...
50.042,0,No touch detected...
50.042,0,No touch detected...
50.042,0,No touch detected...
50.248,0,No touch detected...
50.248,0,No touch detected...
50.248,0,No touch detected...
50.248,0,No touch detected...
50.452,0,No touch detected...
50.452,0,No touch detected...
50.452,0,No touch detected...
50.452,0,No touch detected...
50.452,0,No touch detected...
50.652,0,No touch detected...
50.653,0,No touch detected...
50.653,0,No touch detected...
50.653,0,No touch detected...
50.853,0,No touch detected...
50.853,0,No touch detected...
50.853,0,No touch detected...
50.853,0,No touch detected...
51.054,0,No touch detected...
51.054,0,No touch detected...
51.054,0,No touch detected...
51.054,0,No touch detected...
51.254,0,No touch detected...
51.254,0,No touch detected...
51.254,0,No touch detected...
51.254,0,No touch detected...
51.455,0,No touch detected...
51.455,0,No touch detected...
51.455,0,No touch detected...
51.455,0,No touch detected...
51.656,0,No touch detected...
51.656,0,No touch detected...
51.656,0,No touch detected...
51.656,0,No touch detected...
51.858,0,No touch detected...
51.858,0,No touch detected...
51.858,0,No touch detected...
51.858,0,No touch detected...
52.058,0,No touch detected...
52.058,0,No touch detected...
52.058,0,No touch detected...
52.058,0,No touch detected...
52.260,0,No touch detected...
52.260,0,No touch detected...
52.260,0,No touch detected...
52.260,0,No touch detected...
52.462,0,No touch detected...
52.462,0,No touch detected...
52.462,0,No touch detected...
52.462,0,No touch detected...
52.663,0,No touch detected...
52.664,0,No touch detected...
52.664,0,No touch detected...
52.664,0,No touch detected...
52.866,0,No touch detected...
52.866,0,No touch detected...
52.866,0,No touch detected...
52.866,0,No touch detected...
53.070,0,No touch detected...
53.070,0,No touch detected...
53.070,0,No touch detected...
53.070,0,No touch detected...
53.272,0,No touch detected...
53.272,0,No touch detected...
53.272,0,No touch detected...
53.272,0,No touch detected...
53.475,0,No touch detected...
53.475,0,No touch detected...
53.475,0,No touch detected...
53.475,0,No touch detected...
53.677,0,No touch detected...
53.677,0,No touch detected...
53.677,0,No touch detected...
53.677,0,No touch detected...
53.880,0,No touch detected...
